"Nid","Path","","Body","Main image","Promotion text","Date"
"4055","/the-evidence-civilisation-and-health","The Evidence: Civilisation and health","<p>The BBC World Service is joining forces with Wellcome Collection to create a new series of events and radio programmes that will explore some of the biggest challenges facing our world today.</p>
<p>Presenter Claudia Hammond will explore the relationship between civilisation and health alongside international experts from the worlds of medicine, neuroscience, history and anthropology.</p>
<p>These events, which will take place with a live audience at Wellcome Collection, will be recorded and broadcast on the BBC World Service in spring 2018.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Evidence%20crowd%20resize.jpg"" width=""1600"" height=""900"" />","Explore the relationship between civilisation and health alongside medicine, neuroscience, history and anthropology experts.",""
"4025","/exhibitions/WhvoAykAACgAlDoo","Somewhere in Between","<p>Science, art, or somewhere in between? Four collaborations between artists and scientists give shape to intangible ideas.</p>
<p>In today’s polarised society, collaboration is more important than ever. It challenges individual perspectives and creates new ways of thinking.</p>
<p><em>Somewhere in Between</em> brings together the work of four contemporary artists: Martina Amati, Daria Martin, Maria McKinney and John Walter. Each collaborated with scientists to explore ideas about our food sources, our senses, our sexual health and the limitations of our bodies.</p>
<p>Experience these four immersive installations, exhibited together at Wellcome Collection for the first time, which reveal the hidden connections and systems that lie between and beneath us.</p>
<p>Image: Martina Amati, <em>Under </em>(still), 2015 </p>
","<img src=""https://wellcomecollection.org/sites/default/files/SiB%20Web%20resize%20.jpg"" width=""1600"" height=""900"" />","Four collaborations between artists and scientists, integrating research from physiology, neuroscience, immunology and genetics.","2018-03-08 15:00:30 to 2018-08-27 15:00:30"
"4021","/designforhealth","Designing for Health: A pop-up studio","<p>Explore the relationship between graphic design and health through practical workshops, conversations and experiments in our pop-up design studio. Join graphic designers, artists and public health professionals to reimagine how language and images are used when we talk about health.</p>
<p>Drop in during our usual gallery hours to make your own zine, see what’s been created in our workshops, or take part in graphic designer Sarah Hyndman’s mass experiment to diagnose the symptoms of different typefaces.</p>
<p>All events are <strong>FREE</strong>, and some are ticketed. Book tickets for the workshops from <strong>Friday 27 October</strong>.</p>
<p>Two of these events will be BSL interpreted: Public Studio, 19.00-21.00 and Type Tasting: Language Laboratory, 16.30-17.30. For more information and to book see the event pages below. </p>
","<img src=""https://wellcomecollection.org/sites/default/files/pop-up%20studio%20small.png"" width=""538"" height=""369"" />","Explore the relationship between graphic design and health through practical workshops, conversations and experiments.","2017-11-03 10:00:00 to 2017-11-12 18:00:00"
"3984","/exhibitions/our-provocation","Our Provocation ","<p>Young women from New Horizon Youth Centre have been working with artist Hannah Hull to design a visual campaign. Over eight sessions, the group have explored their ideas and opinions on issues such as mental health, sexual health, role models, body image and nutrition.</p>
<p>The campaign is formed of two sections, one in the windows of the studio and the other on the walls of the corridor. The former contains slogans and statements of protest generated by the group. The other features everyday products with health warnings that have been subverted by the young people, such as alcohol, medication and mobile phones.</p>
<p>During the workshops the young people have been responding to the idea of ‘Provocation’ in Can Graphic Design Save Your Life?, and used the exhibition content to stimulate their ideas. See what they have to say outside the Youth Studio.</p>
<h4><strong>Project contributors</strong></h4>
<p><a href=""https://nhyouthcentre.org.uk/"">New Horizon Youth Centre</a> is a day centre, outreach project and advice service supporting over 2500 homeless 16-21 year olds per year. They provide everything from hot food, showers and laundry to finding accommodation, training and employment. In addition they offer in-house counselling, drug and alcohol support, an on-site nurse, fitness, art, music and communication skills workshops - everything marginalised young people need to create a positive future.</p>
<p><a href=""http://www.hannahhull.co.uk"">Hannah Hull</a> is a socially-engaged artist and researcher, specialising in excluded groups. She currently holds a PhD studentship at Goldsmiths, University of London.</p>
<p>This project has been organised as part of Wellcome Collection’s <a href=""https://wellcomecollection.org/youth-and-schools-events"">Youth Programme</a>, which engages young people (in their school and leisure time) and local communities through participatory projects that build knowledge, inspire creativity and promote confidence.</p>
<h4><strong>Part of <a href=""https://wellcomecollection.org/exhibitions/WZwh4ioAAJ3usf86"">Can Graphic Design Save Your Life? </a></strong></h4>
","<img src=""https://wellcomecollection.org/sites/default/files/wall_0.jpg"" width=""2000"" height=""1125"" />","Young people explore their political voice with a visual campaign inspired by health issues. ","2017-11-21 09:00:30 to 2018-01-21 18:00:00"
"3946","/whymusic","Why Music? The Key to Memory","<p>Join BBC Radio 3 and Wellcome Collection to explore music and memory with a special weekend of live broadcasts, concerts and events.</p>
<p>With the help of acclaimed musicians, scientists and experts, ‘Why Music? The Key to Memory’ explores the implications of music’s unique capacity to be remembered, and keep us in the moment, through wide-ranging discussions and live performances.</p>
<p>One-off programmes, world premieres and live music from the weekend will be broadcast on BBC Radio 3, and will also be available on BBC iPlayer for 30 days afterwards.</p>
<p><strong>All tickets are FREE. Tickets will become available from 11:00 on Friday 29 September.<br /><br /><a href=""https://wellcomecollection.org/visit-us/planning-your-visit-during-why-music-key-memory"">Find out about extended opening hours and plan your visit. </a></strong></p>
<p>'Why Music? The Key to Memory’ is a partnership between BBC Radio 3 and Wellcome Collection.</p>
<p><img height=""64"" width=""64"" class=""media-element file-default"" data-delta=""1"" src=""https://wellcomecollection.org/sites/default/files/styles/main_image/public/audio_described.png?itok=3QdDDHgS"" alt="""" /><strong>For blind and partially sighted visitors</strong></p>
<p>Throughout the weekend, there will be Visitor Experience Assistants available who are trained in audio description. If you would like Audio Description support or have any access-related queries, please email us at <a href=""mailto:access@wellcomecollection.org"">access@wellcomecollection.org</a> or call 020 7611 2222. You can also speak to a member of staff in person at the information desk on the ground floor.</p>
<p>Find out more about <a href=""https://wellcomecollection.org/visit-us/accessibility"">accessibility</a> at Wellcome Collection.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/web%20graphic.jpg"" width=""1545"" height=""800"" />","BBC Radio 3 and Wellcome Collection explored music and memory with a special weekend of live broadcasts, concerts and events.","2017-10-13 08:00:00 to 2017-10-15 08:00:45"
"3945","/exhibitions/WduTricAAN7Mt8yY","Ayurvedic Man: Encounters with Indian medicine ","<p>Shedding light on Wellcome’s historical collections that relate to Ayurveda and Indian medicine and tracing how health narratives have been shaped by multiple cultural encounters. </p>
<p>This exhibition takes its title and inspiration from the ‘Ayurvedic Man’ – an 18th-century Nepali painting depicting the organs and vessels of the male body according to classical Ayurveda. Showcasing an exquisite range of material, including Sanskrit, Persian and Tibetan manuscripts, vibrant gouache paintings, erotic manuals and animal-shaped surgical tools from our collections, the exhibition includes a new commission by artist Ranjit Kandalgaonkar reimagining the Bombay plague epidemic of 1896.</p>
<p>Ayurveda has been associated for thousands of years with a range of medical practices rooted in South Asia. Widely practised today in India and beyond, it has been transformed during exchanges with biomedicine and the global market of wellness. As Ayurveda evolves and objects are dispersed across museums, several questions remain: Who owns medical heritage? And what is the contemporary relevance of collections built from colonial encounters? </p>
<p>Ranjit Kandalgaonkar’s commission follows from his <a href=""http://www.gasworks.org.uk/residencies/ranjit-kandalgaonkar-2017-07-03/"">residency at Gasworks</a>, London, which was supported by the Charles Wallace India Trust and Inlaks Shivdasani Foundation.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/AM.jpg"" width=""2456"" height=""1382"" alt=""Visitors looking at the painting of the Ayurvedic Man"" title=""Visitors looking at the painting of the Ayurvedic Man"" />","Mapping encounters between medical practitioners, between cultures, and between continents - across India and beyond.

","2017-11-16 07:45:00 to 2018-04-08 07:45:00"
"3921","/naturalhabitat","Natural Habitat","<p>‘Natural Habitat’ is a new artwork that has been created by Year 9 art students from Central Foundation Boys’ School in collaboration with the artist Verity-Jane Keefe. The piece is the result of an exciting five-month co-production project in which the group have explored ideas that are central to the exhibition ‘A museum of modern nature’ - ideas of what we mean by ‘nature’ and how it relates to their lives.</p>
<p>The installation is on display in ‘A museum of modern nature’, in gallery 2 on level 1 of Wellcome Collection. The piece encourages visitors to step inside the groups’ alternative natural habitat and become living specimens in their modern diorama.</p>
<p>Wellcome Collection’s Youth Programme selected Central Foundation Boys’ School for the project following an application process in September 2016, and appointed Verity-Jane Keefe as the lead artist. Verity-Jane devised and delivered a series of afterschool and day-long workshops which enabled the students to explore the theme of nature through a variety of creative media. Taking the previous Wellcome Collection exhibition, ‘Making Nature’, as a starting point, the workshops passed the baton over to the group to enable them to occupy and explore the theme of what nature actually is to a young person living in the city today. Using sculpture, curating, collage, photography and drawing, the workshops referenced traditions of natural history but also questioned stereotypes of nature. The group also visited Rainham Marshes Nature Reserve.</p>
<p>The final piece explores the complex subject of what nature is and might be in the future, containing familiar architecture found on journeys surrounding the group’s daily journeys, alongside flora, fauna, fragments from the built environment, fried chicken, PlayStation controllers and much more: all things found in the landscape of the everyday. An accompanying soundtrack presents ambient sounds from these journeys alongside dialogue exploring the work and themes. </p>
<p>This project has been organised as part of our Youth Programme, which engages young people (in their school and leisure time) and local communities through participatory projects that build knowledge, inspire creativity and promote confidence. This project is an example of co-production, where we team up experts in a field with young people to create material that can be enjoyed by all who visit our venue.</p>
<p>The young artists from Central Foundation Boys School are: Alex, Charlie, Emmanuel, Evan, George, Gurpreet, Irfan, Isa, Josiah, Leevon, Magnus, Malachi, Muntasar, Percival and Xavier.</p>
<p>If you’d like to get in touch about our free opportunities for schools, email <a href=""mailto:youthprogrammes@wellcomecollection.org"">youthprogrammes@wellcomecollection.org</a>.</p>
<p><strong>Part of <a href=""http://wellcomecollection.org/exhibitions/museum-modern-nature"">A museum of modern nature</a></strong></p>
","<img src=""https://wellcomecollection.org/sites/default/files/natural-habitat-16x9.png"" width=""1600"" height=""900"" />","A new school co-production artwork exploring what nature is and might be for young people in London.","2017-06-22 14:45:00 to 2017-10-08 14:45:00"
"3919","/summer","Choose your own summer","<p><iframe allowfullscreen="""" frameborder=""0"" height=""360"" src=""https://www.youtube.com/embed/HsQCIVq8hJM?rel=0&showinfo=0"" width=""640""></iframe></p>
<p>This summer…</p>
<p>Things in life we just don’t get to choose: our family, the weather, how old we are. Things in life we do get to choose: the way we spend our free time this summer.</p>
<p>As we turn 10 this summer, we want <strong>you</strong> to choose. Would you like a playful path, a relaxed ramble or a deep dive into our collection?</p>
<p>Pick up a trail when you get to Wellcome Collection and follow our Play, Push or Relax routes through the building. Find your new favourite object and share your ideas to inspire other visitors.</p>
<p>Whatever route you take, it will be all yours!</p>
<p><img height=""302"" width=""440"" class=""media-element file-default"" data-delta=""2"" src=""https://wellcomecollection.org/sites/default/files/styles/main_image/public/play-440x302-PNG.png?itok=lprpsMmr"" alt="""" /></p>
<p>You choose to… Play</p>
<p>This trail will explore the interactive and light-hearted parts of being human.</p>
<ul><li>Get competitive with 19th century board games</li>
<li>See inside a transparent woman</li>
<li>Gif yourself a break in our interactive photobooth</li>
<li>Spot Sir Henry Wellcome’s face where you least expect him!</li>
<li>Grow your neuron with our Axon game</li>
<li>What does the Forehead Reader say about you?</li>
<li>Marvel at the 1950s drawing by Picasso, on the plaster wall he drew it on</li>
<li>Seek out the musical instruments crafted from wood and seeds</li>
<li>And much more…</li>
</ul><p><img height=""302"" width=""440"" class=""media-element file-default"" data-delta=""3"" src=""https://wellcomecollection.org/sites/default/files/styles/main_image/public/push-440x302-PNG.png?itok=0ZXAwXbQ"" alt="""" /></p>
<p>You choose to… Push</p>
<p>This is the most intense trail to learn more, challenge yourself, and question what it means to be human.</p>
<ul><li>Lock horns with deer antlers chosen by Chris Packham</li>
<li>Get wrapped up with a Peruvian mummy</li>
<li>Discover pioneers in the archive</li>
<li>Window shop for a contraceptive dress</li>
<li>Beg for Acts of Mercy</li>
<li>Slice and dice on a digital autopsy table</li>
<li>Remember what’s important in life with a Momento Mori</li>
<li>Rediscover your body with I Can’t Help The Way I Feel</li>
<li>And much more…</li>
</ul><p><img height=""302"" width=""440"" class=""media-element file-default"" data-delta=""4"" src=""https://wellcomecollection.org/sites/default/files/styles/main_image/public/relax-440x302-PNG.png?itok=HfdPNnAW"" alt="""" /></p>
<p>You choose to… Relax</p>
<p>This is the perfect trail to help you unwind and meditate on health and humanity!</p>
<ul><li>Smooth out your knowledge about massage tools</li>
<li>Find your way with a feng shui compass</li>
<li>Listen to the dawn chorus</li>
<li>Disconnect and connect with soothing jigsaw puzzles</li>
<li>Feel at home with the Memory Jar</li>
<li>Recline on a Freudian couch and share how you feel</li>
<li>Swallow your fears with pills carved to act like amulets</li>
<li>And much more…</li>
</ul>","<img src=""https://wellcomecollection.org/sites/default/files/Choose-your-own-summer-main-02.png"" width=""1600"" height=""900"" />","Would you like a playful path, a relaxed ramble or a deep dive into our collection this summer?","2017-07-01 10:00:00 to 2017-07-30 18:00:00"
"3835","/exhibitions/WZwh4ioAAJ3usf86","Can Graphic Design Save Your Life?","<p>Explore the relationship between graphic design and health in our current exhibition.</p>
<p>Comprising over 200 objects including hard-hitting posters, illuminated pharmacy signs and digital teaching aids, 'Can Graphic Design Save Your Life?' will consider the role of graphic design in constructing and communicating healthcare messages around the world, and will show how graphic design has been used to persuade, to inform and to empower.</p>
<p>This exhibition will highlight the widespread and often subliminal nature of graphic design in shaping our environment, our health and our sense of self. Drawn from public and private collections around the world, it will feature work from influential figures in graphic design from the 20th century, as well as from studios and individual designers working today.</p>
<p>'Can Graphic Design Save Your Life?' is curated by graphic designer Lucienne Roberts and design educator Rebecca Wright, founders of publishing house GraphicDesign&, with Shamita Sharmacharja at Wellcome Collection.</p>
<p>Please see our advice for <a href=""/busytimes"">visiting during busy times</a>.</p>
<p><span class=""file""><img class=""file-icon"" alt=""PDF icon"" title=""application/pdf"" src=""/modules/file/icons/application-pdf.png"" /><a href=""https://wellcomecollection.org/sites/default/files/CGDSYL-LargePrintGuide.pdf"" type=""application/pdf; length=314828"">Exhibition text and captions (315 KB)</a></span></p>
","<img src=""https://wellcomecollection.org/sites/default/files/can-graphic-design-save-your-life.png"" width=""800"" height=""450"" alt=""Can Graphic Design Save Your Life"" />","The widespread and often subliminal nature of graphic design in shaping our environment, our health and our sense of self.","2017-09-07 10:00:00 to 2018-01-14 18:00:00"
"3783","/sheep-pig-goat-contextual-conversations2","Sheep Pig Goat: Contextual conversations","<p>Explore the inner lives of animals, and the complex relationships that bind them and us together in this series of conversations with leading scientists, researchers and artists hosted by dramaturg Ruth Little. </p>
<p><strong>These events are FREE. Tickets are available via each listing below. </strong></p>
<p><strong>These events will take place at a venue in Peckham, a 5 minute walk from Peckham Rye station. Ticket holders will be emailed with the full address and directions shortly before the events take place. </strong></p>
<p><strong>Ruth Little</strong> is a theatre and dance dramaturg, a teacher and writer. Her research and teaching in ecologies of performance is informed by two decades' experience of commissioning, developing and curating new work in partnership with community groups, academics, and artists across all forms. She has led workshops and art-science expeditions nationally and internationally. She lectured in English literature at the University of Sydney, and was literary manager at Out of Joint, Soho Theatre and the Royal Court, and artistic associate at the Young Vic. Ruth is dramaturg for Akram Khan Company, associate director of Cape Farewell London, and associate artist at Perth International Arts Festival.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/pig-main.jpg"" width=""1600"" height=""900"" />","Explore the stories we tell ourselves about animals, and our place in an animal world in this series of lively debates.","2017-03-16 19:00:00 to 2017-03-18 20:30:00"
