"Nid","Path","","Body","Main image","Promotion text","Basic listing","Multi listing"
"4056","/visit-us/activities-and-contributors-2","Activities and Contributors","<p>This event was conceived and curated by <a href=""http://www.mas-productions.org/"">MAS Productions.</a></p>
<ul><li>
<p><strong>Tabloid</strong> with Moss Beynon Juckes</p>
</li>
<li>
<p><strong>Roaming Researchers:</strong> Simon Watt, Mahtab Farahbakhsh, Pete Jones, Hugo Chow-Wing-Bom, Francesca Puledda, Rachel Williams, David Luke, Carles Bosch, Mandy Ho, Danbee Kim, Alessandro Galloni and Alexandra Smith</p>
</li>
<li>
<p><strong>Haitian Vodou Ritual Dance Workshop </strong>with Zsuzsa Parrag and Randy Lester</p>
</li>
<li>
<p><strong>Are our Brains Broken? Cognitive bias and the neurodiverse spectrum</strong> with Edward Bracey</p>
</li>
<li>
<p><strong>Illuminating Visions</strong> with Rachel Williams</p>
</li>
<li>
<p><strong>The Politics of Perception: winning the battle in a post-truth society</strong> with Matthew d’Ancona</p>
</li>
<li>
<p><strong>BSL Interpreters: </strong>Sula Gleeson and Michelle Wood</p>
</li>
<li>
<p><strong>Reverse Your Taste </strong>with Jonathan Grieve, Ignacio Jarquin, Michael Blundell-Lithco, Benjamin Ecclestone, Jasmine Newsome-Stone and Rosaleen Burton</p>
</li>
<li>
<p><strong>Enter the Floral Brain </strong>with Jennifer White and Sam Hacking</p>
</li>
<li>
<p><strong>Visual Disturbance </strong>with Francesca Puledda, Lucy F Thane and Elinor Lewis</p>
</li>
<li>
<p><strong>20 Minutes of Action </strong>with Nwando Ebizie, Chris King, Tom Richards, Moss Beynon Juckes, Anya Dewar and Jonathan Grieve</p>
</li>
<li>
<p><strong>Brain Tingles: Touch, sound and personal attention </strong>with Fabiola Santana, Lizzie Masterton, Antigoni Spanou, Madinah Thompson, Jayne Cavendish, Lateisha Lovelace-Hanson and Simone Saunders</p>
</li>
</ul><h2>Part of <a href=""http://wellcomecollection.org/events/friday-late-spectacular-your-reality-broken"">Friday Late Spectacular: Your Reality is Broken</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/FB%20image%20%281%29.jpg"" width=""1920"" height=""1080"" />","","",""
"4006","/visit-us/rawminds-project-film-disconnected","RawMinds project film: Disconnected","<p><iframe allowfullscreen="""" frameborder=""0"" height=""394"" src=""https://www.youtube.com/embed/QunMWTVBTHk"" width=""700""></iframe></p>
<p>A short film (4 mins 38 secs) looking at the experience of technology and nature for young people living in our hyper-connected society.</p>
<p>This film has been created by young people aged 14-19 from London who took part in our RawMinds summer film-making project, inspired by our exhibition ‘A museum of modern nature’. Find out more about the project <a href=""http://wellcomecollection.org/what-we-do/rawminds-summer-filmmaking-project-2017"">here.</a></p>
","<img src=""https://wellcomecollection.org/sites/default/files/Disconnected%20film%20screenshot.png"" width=""800"" height=""461"" />","A short film exploring young people’s relationship with technology and nature. Part of the RawMinds summer 2017 project.","","<h2></h2><div></div><div class=""snippet-list""><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/The%20roots%20film%20screenshot.png?itok=yFdO3oMs"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/what-we-do/rawminds-project-film-roots"" itemprop=""url"">RawMinds project film: The Roots</a></h2><div class=""snippet__description"" itemprop=""description"">A short film focusing on the beauty of nature. Part of the RawMinds summer 2017 project.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/Out%20of%20the%20wild%20film%20screenshot.png?itok=w07MobAN"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/what-we-do/rawminds-project-film-out-wild"" itemprop=""url"">RawMinds project film: Out of the Wild</a></h2><div class=""snippet__description"" itemprop=""description"">A short film about the bushcraft camp experience of a group of young people. Part of the RawMinds summer 2017 project.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/RawMinds-main-2017.png?itok=A0LFU7dg"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/rawminds"" itemprop=""url"">RawMinds</a></h2><div class=""snippet__description"" itemprop=""description"">A youth engagement initiative for teenagers 14-19 to experiment with art and science, get creative and learn new skills.</div></div></article><article class=""snippet"" itemscope="""" itemtype=""http://schema.org/Event""><img class=""snippet__image"" src=""https://wellcomecollection.org/sites/default/files/styles/snippet/public/young-people-main.jpg?itok=3L_leep6"" width=""400"" height=""225"" alt="""" /><div class=""snippet__info""><h2 class=""snippet__title"" itemprop=""name""><a href=""/young-people-aged-14-19-sign"" itemprop=""url"">Young People aged 14-19 Sign Up</a></h2><div class=""snippet__description"" itemprop=""description"">Stay informed about project opportunities for young people aged 14-19.</div></div></article></div>"
"4000","/visit-us/planning-your-visit-during-why-music-key-memory","Planning your visit during 'Why Music? The Key to Memory'","<p>BBC Radio 3 will be broadcasting live from Wellcome Collection from Friday 13 to Sunday 15 October 2017 as part of the event series <a href=""https://wellcomecollection.org/whymusic"">‘Why Music? The Key to Memory’.</a> Tickets for events are available now.</p>
<p>If a ticketed event is fully booked, a waiting list will be in operation in Wellcome Collection from an hour before the event’s start time, in keeping with our regular <a href=""https://wellcomecollection.org/visit-us/events-tickets"">booking policy</a>.</p>
<h3>Wellcome Café</h3>
<p>Listen to the broadcast as it happens in <a href=""https://wellcomecollection.org/visit-us/wellcome-caf%C3%A9"">Wellcome Café</a>.</p>
<h3>Opening hours</h3>
<p>There will be extended opening hours over the weekend. Wellcome Café will also be open until 22.00 on Friday and Saturday night, so join us for a pre-performance drink. As live broadcasts will be taking place, there will be restricted access to the Reading Room over the weekend. </p>
<p><strong> <a href=""https://wellcomecollection.org/visit-us/wellcome-caf%C3%A9"">Wellcome Café</a> opening times</strong></p>
<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 500px;""><tbody><tr><td>Friday 13 October</td>
<td>08.30-22.00</td>
</tr><tr><td>Saturday 14 October</td>
<td>08.00-22.00</td>
</tr><tr><td>Sunday 15 October</td>
<td>08.00-18.45</td>
</tr></tbody></table><p><strong><a href=""http://bookshop.blackwell.co.uk/bookshop/wellcomeshop/"">Wellcome Shop</a> opening times </strong></p>
<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 500px;""><tbody><tr><td>Friday 13 October</td>
<td>09.00-22.00</td>
</tr><tr><td>Saturday 14 October</td>
<td>10.00-22.00</td>
</tr><tr><td>Sunday 15 October</td>
<td>10.00-18.45</td>
</tr></tbody></table><p><strong><a href=""https://wellcomecollection.org/visit-us/wellcome-kitchen"">Wellcome Kitchen</a> (Level 2) opening times</strong></p>
<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 500px;""><tbody><tr><td>Friday 13 October</td>
<td>11.00-18.00</td>
</tr><tr><td>Saturday 14 October</td>
<td>11.00-18.00</td>
</tr><tr><td>Sunday 15 October</td>
<td>11.00-18.00</td>
</tr></tbody></table><p><strong>Don’t miss these great offers in the café and kitchen over the weekend</strong></p>
<p><strong>Wellcome Café</strong></p>
<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 500px;""><tbody><tr><td colspan=""2""><strong>Breakfast</strong></td>
</tr><tr><td>Pastry with a hot drink</td>
<td>£3.50</td>
</tr><tr><td colspan=""2""><strong>Lunch and dinner </strong></td>
</tr><tr><td>Cake with a hot drink</td>
<td>£5</td>
</tr><tr><td>Soup with a hot drink</td>
<td>£6</td>
</tr><tr><td>Meal with a beer or glass of house wine</td>
<td>£12</td>
</tr><tr><td>Meal with a soft drink</td>
<td>£8</td>
</tr><tr><td>Two salads and a soft drink</td>
<td>£7</td>
</tr></tbody></table><p><strong>Wellcome Kitchen</strong></p>
<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 500px;""><tbody><tr><td>Cream tea</td>
<td style=""text-align: right;"">£5.50</td>
</tr></tbody></table><h4>Extra Bars</h4>
<p>A special bar will be open for ticket holders 30 minutes before the following events start:</p>
<ul><li>
<p><a href=""https://wellcomecollection.org/events/world-3"">World on 3</a></p>
</li>
<li><a href=""https://wellcomecollection.org/events/hear-and-now-0"">Hear and Now</a></li>
</ul><p>Access is via Wellcome Shop in Wellcome Collection.</p>
<h4>Exhibitions</h4>
<p>All the permanent galleries will be open <a href=""https://wellcomecollection.org/visit-us/opening-hours"">open for their usual hours</a>, except on Sunday, when they will remain open until 18.45. In addition, <a href=""https://wellcomecollection.org/graphicdesign"">'Can Graphic Design Save Your Life?'</a> will be open on Friday and Saturday until 22.00.</p>
<h4>Reading Room</h4>
<p>As live broadcasts will be taking place there will be restricted access to the <a href=""https://wellcomecollection.org/readingroom"">Reading Room</a> over the weekend. It will be open as usual from 10.00 until 18.00 on Friday, from 13.00-15.00 on Saturday for <a href=""https://wellcomecollection.org/events/saturday-classics"">Saturday Classics</a> and 09.00-10.00 on Sunday for <a href=""https://wellcomecollection.org/events/music-memoriam"">Music in Memoriam</a>, but closed at all other times across the rest of the weekend (except to ticket holders for events in this space).</p>
<p><strong>Reading Room opening times</strong></p>
<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 500px;""><tbody><tr><td>Friday 13 October</td>
<td>10.00-18.00</td>
</tr><tr><td>Saturday 14 October</td>
<td>13.00-15.00</td>
</tr><tr><td>Sunday 15 October</td>
<td>09.00-10.00</td>
</tr></tbody></table><p>Filming and photography will be taking place in Wellcome Collection over the weekend - see signs for details. Please speak to a member of staff if you have any concerns.</p>
<h3>Part of '<a href=""https://wellcomecollection.org/whymusic"">Why Music? The Key to Memory</a>'</h3>
","<img src=""https://wellcomecollection.org/sites/default/files/Why%20Music%20-%20web%20graphic.jpg"" width=""1545"" height=""800"" />","","",""
"3996","/visit-us/reimagining-human-relations-our-time-tavistock-institute-festival","Reimagining Human Relations in Our Time: Tavistock Institute Festival","<h3>Tuesday 17 - Friday 20 Oct</h3>
<p>Celebrate 70 years of the Tavistock Institute, and delve into their rich and fascinating archives held at the Wellcome Library.</p>
<p>The festival will run for four days across a number of sites. Check <a href=""http://festival.tavinstitute.org/programme/"">festival.tavinstitute.org/programme</a> for full details.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/WOSB%20graphs_0.jpg"" width=""640"" height=""480"" />","Celebrate 70 years of the Tavistock Institute with a range of events and archival insights.",", , ",""
"3979","/sheep-pig-goat-film","Sheep Pig Goat","<p><iframe allowfullscreen="""" frameborder=""0"" height=""360"" mozallowfullscreen="""" src=""https://player.vimeo.com/video/217677086"" webkitallowfullscreen="""" width=""640""></iframe></p>
<h3>A creative research studio by Fevered Sleep.</h3>
<p>We tell ourselves all sorts of stories about animals. Animals fly through our mythology, our unconscious, our cultural history and our literature; they run through our folk tales; they crawl through our dreams.</p>
<p>But what do animals perceive when they perceive us? And what would happen if we really tried to pay attention to them?</p>
<p>Sheep Pig Goat was a creative research studio by Fevered Sleep, commissioned by Wellcome Collection to accompany the exhibition <a href=""/MakingNature"">Making Nature</a>. It explored how well humans see animals as they really are – not as we tell ourselves they are – through a series of improvised encounters between human performers and animal spectators. Alongside these encounters, the project also included lively public debates with leading scientists and artists, exploring different aspects of relations between human and animal. These addressed subjects as diverse as non-human intelligence and emotion, animal rights and justice, and the various ways animals are woven deeply into human cultural history.</p>
<p>With the planet changing rapidly, the stories we tell ourselves about the natural world, the hierarchies we construct, and our definitions of difference, are inextricably linked to our actions, or inactions, towards it. This project invited people to pay more attention to the existence and experience of non-human animals, opening up the possibility of inter-species empathy, and challenging people to assess their own position and responsibilities in a more-than-human world.</p>
<p>Sheep Pig Goat took place in March 2017 in Peckham, London. Unusually for a project in the early stages of research, Sheep Pig Goat was entirely open to the public, and over 500 people took part in the studio visits and public debates.</p>
<p>“Deeply fascinating to glimpse Fevered Sleep's Sheep Pig Goat R&D process. Existential questions re human ideas of connectivity and primacy” - Audience member</p>
<p>“Sheep Pig Goat offers the possibility of a new way of seeing” - The Guardian</p>
<p>Find out more about the project on <a href=""http://www.feveredsleep.co.uk/current/sheep-pig-goat/"">Fevered Sleep's website</a>, or read <a href=""https://wellcomecollection.org/sheep-pig-goat-frequently-asked-questions"">answers to frequently asked questions</a>. </p>
","<img src=""https://wellcomecollection.org/sites/default/files/SPG-main.jpg"" width=""1600"" height=""900"" />","Sheep Pig Goat was a creative research studio by Fevered Sleep.","",""
"3931","/visit-us/notes-process","Notes on the process","<p><strong>Written by the lead project artist Verity-Jane Keefe</strong></p>
<p>What is nature and how is it relevant to us?</p>
<p>Do we have a relationship with nature? Should we?</p>
<p>Can nature thrive in the city?</p>
<p>If we were in a museum of nature as a specimen in 150 years’ time, how would we be represented?</p>
<p>What would our diorama be? Would it be a suitable Natural Habitat or shall we speculate?</p>
<p>Natural Habitat’ has been produced following an intensive workshop period. It both responds to and challenges key notions of what nature is, why we should care, where we can find it and what it looks like. These questions and attempted answers feature as part of an accompanying soundscape alongside collected audio from the local environment.</p>
<p>The diagram above is a map of the work. Objects are ordered and grouped in a number of linear themes, taking you from “Real, now, fact, truth” at the bottom to “Future, fantasy, speculative nature, sci-fi, computer game landscapes” at the top.</p>
<p>The numbered themes are:</p>
<p>7) Architecture: Buildings, personal, place, our city; ordered in chronology from old to new, from left to right</p>
<p>6) Dystopia: Edges of city, periphery, Rainham Marshes, where nature becomes more unquantifiable</p>
<p>5) “Real” Nature: Flora and fauna extracted from our everyday journeys and local environment</p>
<p>4) Alternative Landscape: William Blake headstone, shells, minerals, crystals, driftwood, logs, rocks, public art, monuments, vegetables</p>
<p>3) The Bits: Chicken shop as natural environment for a young person, money as capital, global warming, big ideas, scatterology</p>
<p>2) An Evolution: From crustaceans to dinosaurs to chickens to zoo to farmyard to rubber ducks and fried chicken, a fantasy line-up of beings</p>
<p>1) The Future is Now: Hard-to-reach nature, access, phones and PlayStations as tools to access nature and other worlds. What will remain</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Natural-Habitat-Map-border.png"" width=""1600"" height=""900"" />","Read about the thought processes and meaning behind the this new co-produced artwork.","",""
"3923","/visit-us/naturalhabitatgallery","Natural Habitat project gallery","<p>Year 9 students from Central Foundation Boys' School worked closely with the artist Verity-Jane Keefe over five months to explore the topic of nature, and to create the final piece. Their co-produced artwork, Natural Habitat, is on display in '<a href=""/exhibitions/museum-modern-nature"">A museum of modern nature</a>'. Take a look below to see photos from the process.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/4-Diorama-images06_0.png"" width=""1000"" height=""714"" />","Take a look at images from behind the scenes of our most recent school co-production project","",""
"3913","/visit-us/sharing-nature-terms-conditions","Sharing Nature terms & conditions","<ul><li>By submitting images and/or narrative (“Content”) to the <a href=""https://wellcomecollection.org/sharingnature"">Sharing Nature project</a> (“Project”), you are responsible and confirm that the Content you have submitted is your wholly-owned creation, is not defamatory, does not infringe the rights of any third party (including intellectual property rights) and that you have all the necessary rights and permissions to submit any such Content to the Project for use as part of the Project on our websites and social media channels and any other uses set out in these terms and conditions. Further that you have the necessary permissions from any persons featured in such Content for use in the Project.</li>
<li>In providing the Content to the Project you licence your Content under the following Creative Commons licence: <a href=""https://creativecommons.org/licenses/by-nc-nd/4.0/"">Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)</a>  and you agree to the following attribution [“Submitted as part of the Wellcome Collection Sharing Nature Project 2017”]</li>
<li>By taking part in this Project, you consent to the use of your personal data by Wellcome for the purposes of the administration of this Project (including, but not limited to, where relevant sharing your social media handle and or name where the Content has been used online and or on Wellcome websites and or online or any social media channels and/or blogs in relation to the Project).</li>
<li>This Project is in no way sponsored, endorsed or administered by, or in association with, any social media channels to which we are posting and you agree that those social media channels shall not be liable to you in any way in respect of this Project.</li>
<li>These terms and conditions shall apply to all online submissions of Content unless otherwise stated. Wellcome reserves the right to make changes to these terms and conditions.</li>
<li>These terms and conditions shall be governed by English law, and the parties submit to the non-exclusive jurisdiction of the courts of England and Wales.</li>
<li>By submitting an item, you are agreeing to be bound by these terms and conditions. <a href=""https://wellcome.ac.uk/about-us/terms-use"">Our privacy statement</a> will apply to the Project.</li>
</ul><p>Wellcome Collection is part of the Wellcome Trust. The Wellcome Trust is a charity registered in England, no. 210183. Its sole trustee is The Wellcome Trust Limited, a company registered in England, no. 2711000, whose registered office is Gibbs Building, 215 Euston Road, London NW1 2BE, UK and is referred to in these terms and conditions as “Wellcome” or “Wellcome Trust”.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/sharing-nature-submit_0.png"" width=""800"" height=""450"" />","The terms & conditions of taking part in our Sharing Nature Project.","",""
"3875","/visit-us/full-list-activities-and-contributors","Full list of activities and contributors ","<ul><li><strong>Creating an Alternative Museum of Nature </strong>with Henry McGhie, Rupert Read, Tim Scoones and Timandra Harkness</li>
<li><strong>Ugly Animal Roadshow </strong>with Simon Watt, Bec Hill, Nigel Lovel, Rachel Wheeley and Ryan Dalton</li>
<li><strong>Liar Lyre</strong> produced by Amy Cutler with Alison Blunt, Angus Carlyle, Douglas Benford,  Douglas Macgregor, Drew Milne, Helen Frosi, Isabel Galleymore, Justin Hopper, Mark Harwood, Mark Peter Wright, Max Bondi, Sally Ann MacIntyre, Edmund Hardy, Sonia Levy, Stephan Barrett, Sterling MacKinnon and Sylvia Hallett</li>
<li><strong>Let's Talk About Nature With...  </strong>Alistair Griffiths, Elizabeth Lynch, Gillian Burke, Martin Hughes-Games, Nick Biddle, Rebecca Stephens, Rebekah Shaman, Robery Craig and Zoe Laughlin</li>
<li><strong>Fashioned by Nature</strong> by Laure Fernandez and Maryssa Cook-Obrégon</li>
<li><strong>Florilegium</strong> by <a href=""https://youtu.be/qyCnDy-dqWs"">Amy Shelton</a>  </li>
<li><strong>The Purring Chamber</strong> by <a href=""Squirrel Nation"">Squirrel Nation</a> and featuring Dora Jeyjey, Ellie Stamp, Gemma May Latham, Lizzie Sells and Louie O'Grady (The Purring Chamber uses participant cat purr recordings from a 2011 study by Susanne Schötz (Lund University, Sweden) and Robert Eklund(Linköping University, Sweden). <a href=""http://vr.humlab.lu.se/projects/meowsic/publ.html"">Find out more about their latest research</a></li>
</ul><p>BSL Interpreters: Michelle Wood, Rob Troy and Rabira Dachi.</p>
<h2>Part of <a href=""ReMaking Nature"">Remaking Nature</a></h2>
","<img src=""https://wellcomecollection.org/sites/default/files/Remaking-Nature-main_0.png"" width=""800"" height=""450"" />","Full list of activities and contributors for Remaking Nature.","",""
"3873","/visit-us/team","The team","<p>Find out more about the small team of people who will be choosing the objects that go on display in '<a href=""/exhibitions/museum-modern-nature"">A museum of modern nature</a>'. They all work with nature in their daily lives and include a park manager, a shaman, a dairy farmer and a plant scientist. Read about their own chosen objects below.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/the-team-main-image.png"" width=""1600"" height=""900"" />","Find out more about the team of people choosing the objects to go on display in the exhibition.","",""
