"Nid","Path","","Body","Main image","Promotion text","Basic listing","Multi listing"
"4084","/what-we-do/proposing-online-article","Proposing an online article","<p>Wellcome Collection publishes original content from a wide range of authors on our website, <a href=""https://wellcomecollection.org/explore"">wellcomecollection.org/explore</a>. Our online stories challenge the ways people think and feel about health by connecting science, medicine, life and art.</p>
<p>We’re open to different approaches, but we tend to commission:</p>
<ul><li>Digital stories – unpacking the many layers of a particular topic through a set of six articles; each instalment is around 1,000 words.</li>
<li>Essays – narrative journalism, including opinion and personal experience pieces; usually about 750 words but can be longer for the right story.</li>
<li>Behind-the-scenes – giving insights into the process of researching, curating or creating a piece of work, up to 1,500 words.</li>
<li>Galleries – a set of images, either from our collection or commissioned, accompanied by a short narrative that gives context.</li>
</ul><p>We pay our writers, and everything on our website is published under a Creative Commons license. A pitch needs to include an outline of what the story will cover, why it is right for Wellcome Collection’s website, the format it will take, a proposed word count, when you could submit a first draft, and, if relevant, who you will interview.</p>
<p>The lead times on our content often varies (we may hold something back to coincide with a particular occasion), but a rough timeline from pitching to publication is around two to three months. Please only pitch if you can produce the proposed content within this time frame.</p>
<p>If you have a story idea you’d like to share, please send your pitch (no more than 350 words), along with examples of your writing, to <a href=""mailto:stories@wellcomecollection.org?subject=Pitch%20%7C%20wellcomecollection.org"">stories@wellcomecollection.org</a>. While we will give all pitches due consideration, we cannot reply to every email.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/iStock-510482146.png"" width=""800"" height=""450"" />","We commission and publish original content from a wide range of authors on our website.","",""
"4081","/what-we-do/partner-schools-programme","Partner Schools Programme","<p><em>Image: Archer Academy students, East Finchley. Photographer: Philip Vile. Design: Peter Copley</em></p>
<p>Welcome to our school partnership page. You’ll find information about the partnerships we have put in place with three London schools. We want to set up close working relationships with local schools so that we can consult on the way we develop our schools and youth activities and promote them to our 14 – 19 audience. Our selection criteria for partnership included the school’s location, socio-economic data and quality of application tasks. We will work with our schools this year to reflect on the success of these partnerships and will open for applications again in 2019.</p>
<p><strong>What is Wellcome Collection?</strong></p>
<p>Wellcome Collection is the free museum and library for the incurably curious. Inspired by the medical objects and curiosities collected by Henry Wellcome, it connects science, medicine, life and art. Through its exhibitions, live programming, and digital and publishing activity, it makes thought-provoking content which aims to challenge how we think and feel about health.</p>
<p>Wellcome Collection is part of Wellcome, a global charitable foundation that exists to improve health for everyone by helping great ideas to thrive. Both politically and financially independent, we support scientists and researchers, take on big problems, fuel imaginations and spark debate.</p>
<p><strong>Our partner schools</strong></p>
<p>In 2018 we are working with <a href=""http://smmacademy.org/"">St Mary Magdalene Academy</a>, <a href=""http://www.williamellis.camden.sch.uk/"">William Ellis School</a> and <a href=""http://thearcheracademy.org.uk/"">Archer Academy</a>. Each school has a key link teacher who will coordinate our work along with the Youth Programme team at Wellcome Collection.</p>
<p><strong>Our offer to you</strong></p>
<p><em>Students </em>– Make the most of <a href=""/what-we-do/youth-and-schools"">study days and events</a>, <a href=""/rawminds"">sociable projects</a> and <a href=""/what-we-do/rawminds-ambassadors-panel"">work experience opportunities</a>. We’ll ask for your advice on ideas we’re planning so you get a say in the way we work.</p>
<p><em>Teaching staff</em> – Enrich your students’ experience with our range of <a href=""/whats/study-days"">study days</a>, <a href=""/what-we-do/youth-and-schools"">events</a> and school projects. We’ll give you advance notice of our programme and also consult with you on our programme content. We can organise visits from scientists, researchers and artists. For ideas of the people we’ve worked with take a look at our <a href=""/exhibitions/packed-lunch"">Packed Lunch events series</a> and the <a href=""https://wellcome.ac.uk/funding/engagement-fellowships"">Wellcome Trust Public Engagement Fellowships</a>.</p>
<p><em>Parents / Carers</em> – We have a range of fantastic <a href=""https://wellcomecollection.org/exhibitions/"">exhibitions</a> to visit and a wonderful programme of <a href=""https://wellcomecollection.org/whats-on/events/all-events"">events</a> for you to enjoy all year round.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/VIL_3035_800x450_crop.jpg"" width=""800"" height=""450"" alt=""Archer Academy students, East Finchley"" />","Find out how we enrich students’ experience by partnering with local schools.","",""
"4063","/what-we-do/ideas-hub-who-can-apply","Who can apply to Ideas Hub?","<p>You can apply to Ideas Hub if:</p>
<ul><li>you can attend Wellcome Collection in central London for the week of 3–7 September 2018</li>
<li>you will be over the age of 18 by 3 September 2018 (there’s no upper age limit)</li>
<li>you have a minimum of 2 years’ work or professional experience – this could be through full-time or part-time jobs, apprenticeships, internships, freelance work or anything equivalent</li>
</ul><p>We can't consider your application if you:</p>
<ul><li>have been employed in a non-freelance capacity by Wellcome in the last 12 months</li>
<li>have taken part in Wellcome’s graduate development programme, or have applied for the 2018 graduate programme intake</li>
<li>will be a Wellcome grant holder in September 2018</li>
</ul><p><strong>Who Ideas Hub is for</strong></p>
<p>Ideas Hub is for you if:</p>
<ul><li>you are fascinated by the links between science, medicine, life and art</li>
<li>you can work constructively and respectfully in a team with diverse backgrounds and opinions</li>
<li>you feel that Ideas Hub will be beneficial to you at this point in your career. You might be at an early stage in your career or at a point where you’re thinking about change – maybe you’re looking to move into a different line of work, maybe you’re not sure what you’d like to do or maybe you just want a chance to develop your skills and discover new possibilities</li>
<li>you have an interest in exploring different ideas, viewpoints and ways of working</li>
<li>you’re excited about trying new activities and keen to step outside your comfort zone and learn from new experiences</li>
<li>you feel that you would be able to use your skills and experience to actively participate in Ideas Hub and contribute your own views and perspectives</li>
</ul><p>Wellcome is committed to diversity and inclusion, and we recently made this one of our <a href=""https://wellcome.ac.uk/what-we-do/our-work/diversity-and-inclusion"">priority areas</a>. We encourage and welcome applications from people of all backgrounds.</p>
<p>You don’t need to have any particular background, expertise or level of education. We want a really mixed group, and it doesn’t matter if you don’t know anything about science or medicine.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Hub%20image%203%20resize%20%20.jpg"" width=""1600"" height=""900"" />","Find out more about who Ideas Hub is for and whether it's right for you.","",""
"4062","/what-we-do/whats-involved","What's involved?","<p><strong>What you'll do at Ideas Hub</strong></p>
<p>You will be part of a group of 20–25 people spending the week of 3–7 September 2018 at Wellcome Collection. Together, you’ll explore the links between science, medicine, life and art. You will take part in a challenging mix of activities designed to stimulate you and help you reflect, including:</p>
<ul><li>inspiring talks and workshops with professionals from a wide range of areas</li>
<li>creative challenges to get you thinking differently</li>
<li>thought-provoking visits to other organisations whose work relates to the theme</li>
<li>a bigger group project to really stretch your skills</li>
</ul><p><strong>What you'll get from Ideas Hub</strong></p>
<p>Your week at Ideas Hub will give you new inspiration and help you rethink where you might take your career. It will be:</p>
<ul><li>a way to build connections with different people and form a network that you can keep alive long after the event</li>
<li>an opportunity to explore alternative ways of doing things and challenge the ways you currently think and work</li>
<li>an invitation to be creative and explore your own ideas in a supportive environment</li>
<li>a chance to meet creative leaders from a range of sectors</li>
<li>a way to expand your understanding of the links between science, medicine, life and art</li>
</ul><p>We ran a one-day trial of Ideas Hub earlier in 2017. Here’s what some of the participants said about it:</p>
<ul><li>“I think the mix of approaches – lecture, group work, object work, the chance to be creative […], as well as analytical – was the most useful part.”</li>
<li>“I felt pushed, especially in the more creative tasks, as this isn’t how I’m used to working, but I enjoyed the challenge and sampling other ways of thinking and going about the activities.”</li>
<li>“I think the day has encouraged me to be more critical in my own work and challenge my own assumptions when approaching issues.”</li>
</ul>","<img src=""https://wellcomecollection.org/sites/default/files/Hub%20image%202%20resize_1.jpg"" width=""1600"" height=""900"" />","Find out more about what you'll do as part of Ideas Hub and where it might take you.","",""
"4061","/what-we-do/frequently-asked-questions-0","Frequently asked questions","<p><strong>Do I need any specific qualifications to apply to Ideas Hub?</strong><br /><br />
	No. Ideas Hub will work best with a diverse group of participants, so we are not looking for people to have a particular background or education level. We do, however, ask that you have a minimum of 2 years’ work or professional experience – this could be through full-time or part-time jobs, apprenticeships, internships, freelance work or anything equivalent.</p>
<p><strong>Does it cost anything to take part in Ideas Hub?</strong><br /><br />
	It is free to participate in Ideas Hub because we are keen to make it as accessible as possible. We will cover reasonable travel expenses involved in taking part and refreshments will also be provided throughout the week. If you are concerned about any costs that you might face because of taking part in Ideas Hub, let us know. We are happy to discuss ways we could help.</p>
<p><strong>Do I have to participate for the full week?</strong><br /><br />
	Yes. It is important that all participants are able to commit to the full week of activities.</p>
<p><strong>How many places do you have available?</strong><br /><br />
	We are planning to recruit 20-25 people.</p>
<p><strong>How many applications are you expecting to receive?</strong><br /><br />
	We don’t know! This is the first time that we have run Ideas Hub.</p>
<p><strong>What is Wellcome? And what is Wellcome Collection?</strong><br /><br />
	Wellcome exists to improve health for everyone by helping great ideas to thrive. We’re a global charitable foundation, both politically and financially independent. We support scientists and researchers, take on big problems, fuel imaginations and spark debate.</p>
<p>As part of this, we run Wellcome Collection, a free museum and library exploring health, life and our place in the world. Through exhibitions, collections, live programming, digital, broadcast and publishing, Wellcome Collection creates opportunities for people to think deeply about the connections between science, medicine, life and art. Wellcome Collection makes thought-provoking content that encourages everyone to reflect on what it means to be human.</p>
<p><strong>Wellcome funds scientific research but I don’t know anything about science – can I still apply?</strong><br /><br />
	Yes. We are not specifically looking for people with a science background. We are keen to have a range of people involved in the week so that discussions can be as interesting and varied as possible.</p>
<p><strong>I’ve never been to Wellcome Collection – can I still apply?</strong><br /><br />
	Yes. We are not specifically looking for applications from people who are familiar with our museum or library. We are seeking a diversity of participants who are keen to explore the connections between science, medicine, life and art.</p>
<p><strong>Why does Wellcome Collection want to run a free programme like this?</strong><br /><br />
	We work as a charity, and our aim is to challenge the way people think and feel about health by connecting science, medicine, life and art. We think Ideas Hub will a great way to do this at the same time as giving everyone involved a great experience.</p>
<p><strong>What is Wellcome Collection’s Hub space?</strong><br /><br />
	Located on the 5th floor of Wellcome Collection, The Hub is usually home to the recipients of The Hub Award, a grant that supports a group of researchers and other creative minds to collaborate on a project over two years which explores the cultural and social contexts of health. In this space, residents can think creatively, collaborate openly and exchange ideas freely. Ideas Hub isn’t part of this – it’s taking place between research projects – but it fits in well with the principle of getting different types of people to work together.</p>
<p><strong>How can I get in touch?</strong><br /><br />
	If you would like to get in touch with us to ask any more questions or discuss any accessibility requirements, please email <a href=""mailto:TheHub@wellcomecollection.org"">TheHub@wellcomecollection.org</a></p>
","<img src=""https://wellcomecollection.org/sites/default/files/Hub%20image%205%20resize%20_0.jpg"" width=""1600"" height=""900"" />","Have any questions about Ideas Hub? Find the answer here.","",""
"4054","/keep-in-touch-with-hub","Keep in touch","<p>Contact us at <a href=""mailto:TheHub@wellcomecollection.org"">TheHub@wellcomecollection.org</a></p>
","<img src=""https://wellcomecollection.org/sites/default/files/Hub%20ideas%20resize%20.jpg"" width=""1600"" height=""900"" />","Contact us.","",""
"4053","/what-we-do/research-network","Research Network","<p>At Wellcome, we want to improve health for everyone by helping great ideas to thrive. To do this, we need to be creative, collaborative and dynamic in our approach.</p>
<p>The Hub provides the opportunity for us to bring together unique voices, expertise and methodologies and be part of an experiment where new knowledge is created as a consequence of these collisions.</p>
<p>While this way of working sits within the more established field of interdisciplinary research, it is still very much taking shape. We believe developing this mode of enquiry could be fundamental to encouraging new ideas and novel approaches, and ultimately to improving health.</p>
<h4>The wider network</h4>
<p>As well as the learnings and insights gained from The Hub, we are also on the lookout for other models and practices, whether these are examples from museums, universities, research centres, art galleries, social enterprises or other public spaces in between. Activities we have undertaken so far that might inform how we work – and help us better understand and establish frameworks to support how we want to work in the future – include:</p>
<ul><li>The Hub Workshop: An international workshop that provided the opportunity to explore and reflect on approaches to collaborative, experimental and publicly situated research within museums, universities and public spaces.</li>
<li>The Hub Collaboration Workshop (in partnership with King’s College London): A gathering that investigated how to collaborate across disciplines to create engaging projects exploring health.</li>
<li>The Helen Hamlyn Research Associate (based in The Hub): This research associate will support The Hub as it looks to enhance how it engages and co-creates with neurodiverse audiences, focusing on collaboration, research and public engagement.</li>
<li>Ideas Hub: A week-long programme of activities and workshops that provides a mixed cohort with a platform to experiment with ideas, challenge their practices and connect with a diverse group of individuals.</li>
</ul><p>A resource page providing links to relevant information, including reports, photos and events, will be available shortly.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Hub%20web%20resize%202.jpg"" width=""1600"" height=""900"" />","A new way of researching.","",""
"4052","/what-we-do/created-out-mind","Created Out of Mind","<p>Created Out of Mind are in residence from October 2016 until July 2018. They are an interdisciplinary team of scientists, visual artists, musicians, broadcasters, clinicians and carers, and aim to explore, challenge and shape perceptions and understanding of dementias through science and the creative arts. The team will explore what dementia means to us all, challenge traditional definitions and common misconceptions, and unlock what we can learn about art, consciousness and the brain from the experiences of people with dementia.</p>
<p>Key outputs to date include:</p>
<ul><li>A <a href=""http://www.createdoutofmind.org/stories-and-reflections/created-out-of-mind-launch-short-film"">short film</a> about our vision to explore, challenge and shape perceptions of dementias through science and the creative arts.</li>
<li>A <a href=""http://www.createdoutofmind.org/stories-and-reflections/shaping-perceptions-of-dementias-one-year-in"">report</a> reflecting on our research so far, and the different ways it has been created, inspired and shaped by the diverse experiences of people living with dementias.</li>
<li>The BBC Radio 3 residency ‘<a href=""https://wellcomecollection.org/press/why-music-key-memory-bbc-radio-3-wellcome-collection"">Why Music? The Key to Memory</a>’, held at Wellcome Collection, 13–15 October 2017.</li>
<li>A <a href=""https://wellcomeopenresearch.org/articles/2-108/v1"">pre-planning framework paper</a> on the project, published on Wellcome Open Research.</li>
<li>Regular <a href=""http://www.raredementiasupport.org/ftd/meetings/london/"">Rare Dementia Support</a> groups held in The Hub.</li>
<li>The Created Out of Mind director, Sebastian Crutch, being appointed to the <a href=""http://www.createdoutofmind.org/stories-and-reflections/harnessing-the-power-of-music-for-dementia-care"">Commission on Music and Dementia</a>.</li>
</ul><p>Visit the <a href=""http://www.createdoutofmind.org/"">Created Out of Mind website</a> for more information.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Hub%20web%20resize%20.jpg"" width=""1600"" height=""900"" />","Our current group, in residence 2016–18.","",""
"4051","/what-we-do/hubbub","Hubbub","<p>Hubbub were the first group to complete their residency in The Hub, which ran from October 2014 to July 2016. The team comprised a rich network of scientists, artists, humanists, clinicians, public health experts, broadcasters and public engagement professionals, who came together to explore states of rest and noise, tumult and stillness, and the health implications for lives increasingly lived in a hubbub of activity.</p>
<p>Key outputs included:</p>
<ul><li>The publication ‘<a href=""http://www.palgrave.com/us/book/9781137407955"">Rethinking Interdisciplinarity Across the Social Sciences and Neurosciences</a>’ by F Callard and D Fitzgerald (Palgrave Macmillan, 2015), which details the challenges and opportunities of interdisciplinary methodologies</li>
<li><a href=""http://hubbubresearch.org/2015/11/03/the-rest-test1/"">The Rest Test</a>, the largest ever survey on rest, launched on BBC Radio 4 and filled out by over 23,000 people from across the world.</li>
<li>The Hubbub Friday Late Spectacular, part of Wellcome Collection’s ‘Late’ series, showcasing some of Hubbub’s work one year in.</li>
<li>‘<a href=""http://hubbubresearch.org/event/rest-discontents/"">Rest and its Discontents</a>’, a free exhibition and event series held at Mile End Art Pavilion, which was accompanied by the book ‘<a href=""https://rd.springer.com/book/10.1007/978-3-319-45264-7"">The Restless Compendium</a>’, edited by F Callard et al. (Palgrave Macmillan, 2016).</li>
</ul><p>Visit the <a href=""http://hubbubresearch.org/"">Hubbub website</a> for more information.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Hubbub%20web%20resize.jpg"" width=""1600"" height=""900"" />","Find out more about Hubbub, our first residents. ","",""
"4050","/what-we-do/hub-award","The Hub Award","<p>There is nothing quite like The Hub Award in the funding landscape. It provides an interdisciplinary group with the time, space and resources to collaborate on a project exploring health in its social and cultural contexts. Its first recipients, <a href=""https://wellcomecollection.org/what-we-do/hubbub"">Hubbub</a>, have now completed their residency; its second group, <a href=""/what-we-do/created-out-mind"">Created Out of Mind</a>, are in residence from October 2016 until July 2018.</p>
<p>Residents are encouraged to experiment with the notion of research, particularly the idea that the process and experience of collaborative working is as valuable as the outputs that are generated. We recognise that impact can mean many different things, ranging from an event, journal article or exhibition to the creation of new knowledge, methodologies or partnerships. The Hub, sitting uniquely above a museum, library and public space, is able to offer a dynamic alternative to conventional research environments, encouraging new and experimental forms of learning to emerge.</p>
<p>Applications for the next residency (beginning in 2018) are now closed. If you’d like more information about applying for The Hub Award in the future, please visit the <a href=""https://wellcome.ac.uk/funding/hub-award"">Wellcome website</a>.</p>
","<img src=""https://wellcomecollection.org/sites/default/files/Hub%20image%201%20resize%20.jpg"" width=""1600"" height=""900"" />","Funding for our residents.","",""
